City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1,Hobyo,SO,79.09,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
3,Meulaboh,ID,77.65,light rain,4.1363,96.1285,Kost Pria
5,Butaritari,KI,82.36,clear sky,3.0707,172.7902,Isles Sunset Lodge
11,Bacolod,PH,81.59,overcast clouds,10.6667,122.95,Planta Hotel & Residences
18,Hambantota,LK,73.74,scattered clouds,6.1241,81.1185,Bungalow 63
19,Karaton,ID,84.96,broken clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
31,Arlit,NE,80.64,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
35,Kapaa,US,84.18,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
36,Pak Phanang,TH,80.08,light rain,8.3511,100.202,Green Park Inn Hotel
37,Diffa,NE,80.33,scattered clouds,13.3154,12.6113,ProDAF/Diffa
38,Ndola,ZM,67.55,few clouds,-12.9587,28.6366,Chabanga Lodge iSpot
40,Maceio,BR,76.44,clear sky,-9.6658,-35.7353,Poutur Pousada
43,Mangaratiba,BR,70.03,overcast clouds,-22.9597,-44.0406,Portobello Resort & Safari
46,Itoman,JP,78.82,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
49,Marawi,PH,72.64,overcast clouds,7.9986,124.2928,Derogongan Residence
50,Kahului,US,85.26,few clouds,20.8947,-156.47,Maui Seaside Hotel
55,Sao Joao Da Barra,BR,71.28,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
56,Hermosillo,MX,84.85,clear sky,29.0667,-110.9667,ibis Hermosillo
60,Geraldton,AU,68.41,clear sky,-28.7667,114.6,Broadwater Mariner Resort
61,Arraial Do Cabo,BR,70.79,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
62,Coahuayana,MX,78.04,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
