City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Ushuaia,AR,2021-10-31 01:06:41,-54.8,-68.3,39.22,79,44,4.34,scattered clouds
1,Hobyo,SO,2021-10-31 01:06:41,5.3505,48.5268,79.09,70,61,12.5,broken clouds
2,Vardo,NO,2021-10-31 01:06:42,70.3705,31.1107,39.56,75,99,10.67,overcast clouds
3,Meulaboh,ID,2021-10-31 01:06:42,4.1363,96.1285,77.65,84,69,5.99,light rain
4,Hasaki,JP,2021-10-31 01:06:43,35.7333,140.8333,63.28,69,97,10.07,light rain
5,Butaritari,KI,2021-10-31 01:06:43,3.0707,172.7902,82.36,73,1,5.86,clear sky
6,Nikolskoye,RU,2021-10-31 01:06:43,59.7035,30.7861,45.39,93,63,7.58,broken clouds
7,Taoudenni,ML,2021-10-31 01:06:44,22.6783,-3.9836,82.24,28,69,9.75,broken clouds
8,Amos,CA,2021-10-31 01:06:45,48.5669,-78.1162,45.05,72,100,4.88,overcast clouds
9,Mvuma,ZW,2021-10-31 01:06:45,-19.2792,30.5283,66.2,61,8,3.29,clear sky
10,Tuktoyaktuk,CA,2021-10-31 01:03:16,69.4541,-133.0374,16.57,87,27,8.7,scattered clouds
11,Bacolod,PH,2021-10-31 01:06:46,10.6667,122.95,81.59,81,97,15.86,overcast clouds
12,Kuloy,RU,2021-10-31 01:06:46,61.0305,42.4925,40.59,94,54,6.91,broken clouds
13,Mataura,NZ,2021-10-31 01:06:46,-46.1927,168.8643,46.63,98,100,12.86,overcast clouds
14,Bluff,NZ,2021-10-31 01:06:47,-46.6,168.3333,49.41,84,100,29.24,overcast clouds
15,Nanortalik,GL,2021-10-31 01:06:47,60.1432,-45.2371,34.32,73,5,6.15,clear sky
16,Kodiak,US,2021-10-31 01:05:35,57.79,-152.4072,44.71,84,100,33.78,light rain
17,Kaitangata,NZ,2021-10-31 01:06:49,-46.2817,169.8464,49.75,86,100,19.71,overcast clouds
18,Hambantota,LK,2021-10-31 01:06:49,6.1241,81.1185,73.74,100,40,3.44,scattered clouds
19,Karaton,ID,2021-10-31 01:06:51,-6.3424,106.1045,84.96,77,84,1.7,broken clouds
20,Fairbanks,US,2021-10-31 01:06:51,64.8378,-147.7164,43.14,56,20,8.05,few clouds
21,Dalbandin,PK,2021-10-31 01:06:52,28.8947,64.4101,61.63,24,0,4.41,clear sky
22,Cape Town,ZA,2021-10-31 01:05:21,-33.9258,18.4232,61.09,84,88,4.12,overcast clouds
23,Tarata,BO,2021-10-31 01:06:52,-17.6167,-66.0167,58.68,64,18,4.5,few clouds
24,Dikson,RU,2021-10-31 01:06:53,73.5069,80.5464,6.6,90,99,15.64,overcast clouds
25,Egvekinot,RU,2021-10-31 01:06:54,66.3167,-179.1667,3.45,91,100,10.49,overcast clouds
26,Dingzhou,CN,2021-10-31 01:05:15,38.5131,114.9956,57.45,41,0,5.48,light rain
27,Busselton,AU,2021-10-31 01:06:55,-33.65,115.3333,63.05,68,100,0.96,overcast clouds
28,Tiksi,RU,2021-10-31 01:06:55,71.6872,128.8694,7.34,85,100,10.69,overcast clouds
29,Fortuna,US,2021-10-31 01:06:56,40.5982,-124.1573,62.47,70,1,1.01,clear sky
30,Lebu,CL,2021-10-31 01:06:56,-37.6167,-73.65,51.31,89,100,12.06,overcast clouds
31,Arlit,NE,2021-10-31 01:06:57,18.7369,7.3853,80.64,21,0,8.66,clear sky
32,Torbay,CA,2021-10-31 01:05:35,47.6666,-52.7314,39.76,68,0,4.99,clear sky
