City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,10/27/2021 2:01,-54.8,-68.3,31.78,92,36,5.48
1,Upernavik,GL,10/27/2021 2:01,72.7868,-56.1549,17.58,47,99,4.21
2,Tuktoyaktuk,CA,10/27/2021 2:01,69.4541,-133.0374,28.4,100,90,2.3
3,Jamestown,US,10/27/2021 1:59,42.097,-79.2353,45.01,98,100,5.99
4,Luderitz,NA,10/27/2021 1:59,-26.6481,15.1594,57.36,87,2,3.15
5,Nouakchott,MR,10/27/2021 2:01,18.0858,-15.9785,78.73,43,85,19.44
6,Bengkulu,ID,10/27/2021 2:00,-3.8004,102.2655,75.61,91,100,7.96
7,Bijie,CN,10/27/2021 2:01,27.3125,105.2942,48.34,95,100,3.56
8,Pochutla,MX,10/27/2021 2:01,15.7432,-96.4661,80.82,89,97,4.65
9,Kirakira,SB,10/27/2021 1:58,-10.4544,161.9205,83.14,78,85,7.45
10,Goderich,CA,10/27/2021 2:01,43.7501,-81.7165,46.9,84,99,19.24
11,Cape Town,ZA,10/27/2021 2:00,-33.9258,18.4232,65.26,66,27,1.99
12,Port Alfred,ZA,10/27/2021 1:59,-33.5906,26.891,67.1,85,99,29.77
13,Yar-Sale,RU,10/27/2021 2:01,66.8333,70.8333,16.88,93,99,9.01
14,Mataura,NZ,10/27/2021 2:01,-46.1927,168.8643,64.04,68,93,3.96
15,Ostrovnoy,RU,10/27/2021 2:01,68.0531,39.5131,30.54,83,100,19.53
16,La Ligua,CL,10/27/2021 2:01,-32.4524,-71.2311,53.89,95,10,1.81
17,Tarsus,TR,10/27/2021 2:01,36.9188,34.8784,58.87,34,10,4.43
18,Neyshabur,IR,10/27/2021 2:01,36.2133,58.7958,49.03,36,76,0.83
19,Barrow,US,10/27/2021 1:58,71.2906,-156.7887,10.42,79,75,4.61
20,Kapaa,US,10/27/2021 2:01,22.0752,-159.319,82.38,73,0,4
21,Sao Jose Da Coroa Grande,BR,10/27/2021 1:57,-8.8978,-35.1478,75.85,82,3,9.31
22,Sao Filipe,CV,10/27/2021 2:01,14.8961,-24.4956,78.93,77,61,11.36
23,Melito Di Porto Salvo,IT,10/27/2021 2:01,37.9222,15.7714,64.54,88,20,4.61
24,Saskylakh,RU,10/27/2021 2:01,71.9167,114.0833,-0.44,98,99,2.06
25,Bredasdorp,ZA,10/27/2021 1:58,-34.5322,20.0403,64.27,82,100,19.57
26,Gbarnga,LR,10/27/2021 2:01,6.9956,-9.4722,69.76,99,91,1.81
27,Katherine,AU,10/27/2021 2:01,-14.4667,132.2667,95.32,46,0,8.05
28,Gigmoto,PH,10/27/2021 2:01,13.7796,124.39,82.15,81,99,10.49
29,Mount Gambier,AU,10/27/2021 1:57,-37.8333,140.7667,80.51,22,100,17.27
30,Vaini,TO,10/27/2021 2:01,-21.2,-175.2,74.03,74,23,18.43
31,Husavik,IS,10/27/2021 2:01,66.0449,-17.3389,39.13,93,100,12.44
32,Eau Claire,US,10/27/2021 2:01,44.8114,-91.4985,47.86,66,3,1.99
33,Hermanus,ZA,10/27/2021 2:01,-34.4187,19.2345,64.9,86,84,16.69
34,Port Lincoln,AU,10/27/2021 2:00,-34.7333,135.8667,72.16,55,39,10.78
35,Shelburne,CA,10/27/2021 2:01,44.0787,-80.2041,42.85,99,100,12.95
36,Chokurdakh,RU,10/27/2021 2:01,70.6333,147.9167,-6.66,97,99,4.05
37,Bluff,NZ,10/27/2021 1:59,-46.6,168.3333,57.99,73,54,3.8
38,Khatanga,RU,10/27/2021 1:59,71.9667,102.5,-5.58,100,96,2.24
39,Norman Wells,CA,10/27/2021 2:01,65.282,-126.8329,26.64,93,90,5.75
40,Punta Arenas,CL,10/27/2021 2:01,-53.15,-70.9167,42.12,70,27,14.32
41,Sidi Ali,DZ,10/27/2021 2:01,36.0998,0.4206,64.72,71,100,5.59
42,Qingyuan,CN,10/27/2021 2:01,23.7,113.0333,76.98,76,100,5.82
43,Rikitea,PF,10/27/2021 2:01,-23.1203,-134.9692,74.46,83,100,12.82
44,Farafangana,MG,10/27/2021 2:01,-22.8167,47.8333,70.43,88,0,7.92
45,Malanje,AO,10/27/2021 2:01,-9.5402,16.341,64.08,95,96,1.36
46,Sola,VU,10/27/2021 2:02,-13.8833,167.55,81.28,76,3,12.46
47,Saint-Augustin,CA,10/27/2021 1:58,51.226,-58.6502,38.17,74,10,6.53
48,Yerofey Pavlovich,RU,10/27/2021 2:02,53.9667,121.9667,40.53,47,4,8.77
49,Qaanaaq,GL,10/27/2021 2:02,77.484,-69.3632,20.07,94,100,13.76
50,Victor Harbor,AU,10/27/2021 2:02,-35.5667,138.6167,71.01,54,100,14.38
51,Meulaboh,ID,10/27/2021 2:00,4.1363,96.1285,79.38,82,100,3.76
52,Hit,IQ,10/27/2021 2:02,33.6416,42.8251,66.51,32,3,2.1
53,Weligama,LK,10/27/2021 2:02,5.9667,80.4167,76.68,82,86,6.4
54,Cabo San Lucas,MX,10/27/2021 1:59,22.8909,-109.9124,80.62,68,5,4
55,Chapais,CA,10/27/2021 2:02,49.7834,-74.8492,36.45,71,100,5.97
56,Yellowknife,CA,10/27/2021 2:02,62.456,-114.3525,40.41,100,100,4
57,Port Hardy,CA,10/27/2021 2:02,50.6996,-127.4199,46.58,93,90,5.75
58,Ancud,CL,10/27/2021 2:01,-41.8697,-73.8203,52.43,91,91,4
59,Poum,NC,10/27/2021 2:02,-20.2333,164.0167,75.74,71,100,7.09
60,Hithadhoo,MV,10/27/2021 2:02,-0.6,73.0833,83.88,69,100,15.32
61,Itarema,BR,10/27/2021 2:02,-2.9248,-39.9167,80.1,75,8,16.24
62,Torbay,CA,10/27/2021 2:00,47.6666,-52.7314,39.58,86,60,3
